-------------------------------------------------------------------------------

Case description: Non-ideal compressible fluid flow in a converging-
                  diverging supersonic nozzle for siloxane fluid MDM
Author: Alberto Guardone
Institution: Politecnico di Milano
Date: 2019.05.03

------------------------------ EXPERIMENTAL DATA ------------------------------

Test M1.5H
Fluid: MDM
Nozzle: M1.5
x: axis coordinate, x = 0 is the nozzle inlet section
P: pressure
T: temperature
PT: total pressure
TT: total temperature
M: Mach number
U: 95% convidence level expanded uncertainty

------------------------ Pressure and temperature data ------------------------

x[m]      P[Pa]     U[Pa]   PT[Pa]    U_PT[Pa]  TT[K]        U_TT[K]
0.052400  861233.1  1528.0  904387.9  923.4     542.1250740  1.200000
0.069400  784971.9  1447.8  904387.9  923.4     542.1250740  1.200000
0.086400  616846.3   352.5  904387.9  923.4     542.1250740  1.200000
0.103400  381734.7   362.3  904387.9  923.4     542.1250740  1.200000
0.137400  246884.0   338.8  904387.9  923.4     542.1250740  1.200000
0.154400   85844.5   399.2  904387.9  923.4     542.1250740  1.200000

---------------------------------- Mach data ----------------------------------

x[m]		     M[-]      U_M[-]
0.092362460  1.110680  0.010757
0.092871408  1.125586  0.011602
0.093540392  1.141271  0.012448
0.094051314  1.149396  0.012872
0.094766759  1.166190  0.014463
0.095386654  1.183685  0.014564
0.095937576  1.183685  0.014564
0.096487188  1.201850  0.016217
0.097036808  1.220656  0.019495
0.097665120  1.240072  0.017082
0.098326948  1.240072  0.017409
0.098835929  1.250000  0.019764
0.099395948  1.250000  0.021871
0.100062556  1.291102  0.019871
0.100696730  1.312440  0.020331
0.101803682  1.323296  0.026534
0.102403535  1.301708  0.019918
0.102891046  1.312440  0.039594
0.103466824  1.356568  0.024338
0.104825255  1.390843  0.024887
0.105525000  1.414214  0.025251
0.106044607  1.426249  0.029295
0.106705553  1.414214  0.030085
0.115738249  1.465592  0.036896
0.116851308  1.438803  0.026102
0.117458645  1.526879  0.031863
0.109655431  1.494847  0.030109
0.117679254  1.432459  0.040235
0.118287809  1.494847  0.036816
0.119207567  1.465592  0.028512
0.120761844  1.494847  0.038060
0.120971038  1.526879  0.036134
0.121284820  1.518592  0.049383
0.121744988  1.472663  0.053837
0.121945656  1.479893  0.028516
0.122739120  1.518592  0.047321
0.123601464  1.472663  0.049674
0.124378472  1.479893  0.030684
0.126333547  1.451907  0.027029
0.127630675  1.451907  0.034308
0.128516136  1.479893  0.029029
0.128856353  1.451907  0.027029
0.129420186  1.432459  0.045183
0.130431445  1.432459  0.040235

-------------------------------------------------------------------------------
