"PointID","x","y","z","Pressure","Velocity_x","Velocity_y","Velocity_z","Turb_Kin_Energy","Omega"
0, 2.941568448000000e-02, 2.941568448000000e-02, 0.000000000000000e+00, 4.216890825888746e+01, 6.368019606530142e-01, -2.821727097301653e-01, 9.504162373835428e+00, 9.723029700115021e-01, 5.572496761234491e+02
1, -2.941568448000000e-02, 2.941568448000000e-02, 0.000000000000000e+00, 5.555950243401438e+01, 5.064622188392602e-01, 1.881723171751022e-01, 7.944444103665506e+00, 1.076129165594044e+00, 6.634476762377247e+02
2, 3.676960560000000e-02, 3.676960560000000e-02, 0.000000000000000e+00, 4.156705323204937e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 4.323215066336792e+04
3, -3.676960560000000e-02, 3.676960560000000e-02, 0.000000000000000e+00, 5.594926845364992e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 4.324826469957027e+04
4, 3.529882137600054e-02, -9.714451465470120e-17, 0.000000000000000e+00, 3.953506464118541e+01, 5.702510879730003e-01, -2.088598932932318e-17, 1.065613747441510e+01, 7.144670607498956e-01, 3.315613018476002e+02
5, 5.200007492262959e-02, 1.045538420835003e-15, 0.000000000000000e+00, 3.689879822091659e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.676396063953685e+04
6, -3.529882137600008e-02, -1.734723475976807e-17, 0.000000000000000e+00, 5.671776331411266e+01, 4.105531829658882e-01, -1.922362276451099e-18, 8.762150173957588e+00, 9.769753168011100e-01, 4.761327468965751e+02
7, -5.200007492262959e-02, 1.047532498130857e-15, 0.000000000000000e+00, 5.767713442334509e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.677543438097013e+04
8, -3.676960560000000e-02, 3.676960560000000e-02, -5.200000000000000e-01, 6.480574248571843e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 4.323215066336757e+04
9, 3.676960560000000e-02, 3.676960560000000e-02, -5.200000000000000e-01, 6.480574030104191e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 4.323215066336795e+04
10, 2.941568448000000e-02, 2.941568448000000e-02, -5.200000000000000e-01, 6.471996971014150e+01, -1.111682979413207e-02, -1.079223664390154e-02, 8.672400364351375e+00, 5.145300725637202e-01, 3.936277514412283e+02
11, -2.941568448000000e-02, 2.941568448000000e-02, -5.200000000000000e-01, 6.471997178801723e+01, 1.111682974551376e-02, -1.079223710905353e-02, 8.672400382326098e+00, 5.145300731465606e-01, 3.936277518280172e+02
12, -3.529882137600008e-02, -1.734723475976807e-17, -5.200000000000000e-01, 6.454245130288535e+01, 9.047652157144051e-03, 0.000000000000000e+00, 9.312674266064514e+00, 4.399163946332122e-01, 2.380215309940930e+02
13, -5.200007492262959e-02, 1.047532498130857e-15, -5.200000000000000e-01, 6.472512843763830e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.676396116222944e+04
14, 3.529882137600054e-02, -9.714451465470120e-17, -5.200000000000000e-01, 6.454244866579373e+01, -9.047659300615142e-03, 0.000000000000000e+00, 9.312674246959393e+00, 4.399163935407588e-01, 2.380215305997017e+02
15, 5.200007492262959e-02, 1.045538420835003e-15, -5.200000000000000e-01, 6.472512554095017e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.676396063953657e+04
16, 2.080000000000000e-01, 3.676960560000000e-02, 2.447696056000000e-01, 4.807113965609096e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 4.324826469956600e+04
17, 2.080000000000000e-01, 3.676960560000000e-02, 1.712303944000000e-01, 2.246211937742447e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 4.323215066337634e+04
18, 2.080000000000000e-01, 2.941568448000000e-02, 1.785843155200000e-01, 2.195996202926589e+01, 9.938553700816492e+00, -1.710366617147876e+00, -7.345833624093927e-01, 1.593602219349971e+00, 8.705816386271631e+02
19, 2.080000000000000e-01, 2.941568448000000e-02, 2.374156844800000e-01, 4.470080869537505e+01, 1.073223144705607e+01, 8.324137402083154e-01, 2.921505772990298e-01, 1.161237580062256e+00, 4.606767960735339e+02
20, 2.080000000000000e-01, -1.734723475976807e-17, 2.432988213760001e-01, 4.685076462084332e+01, 1.105229660053407e+01, 1.074084037703734e-17, 1.301320315010448e+00, 6.330156506448477e-01, 2.648202753763096e+02
21, 2.080000000000000e-01, 1.047532498130857e-15, 2.600000749226296e-01, 5.348848650903263e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.677543438096695e+04
22, 2.080000000000000e-01, -9.714451465470120e-17, 1.727011786239994e-01, 2.761431897748043e+01, 4.151400828969982e+00, 1.177318549834469e-16, 1.750228570152265e+00, 1.027115331181974e+00, 1.073738912207340e+03
23, 2.080000000000000e-01, 1.045538420835003e-15, 1.559999250773704e-01, 2.726879419564190e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.676396063953876e+04
24, 1.248000000000000e+00, 3.676960560000000e-02, 2.447696056000000e-01, 5.252148478570148e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 4.323215066336328e+04
25, 1.248000000000000e+00, 3.676960560000000e-02, 1.712303944000000e-01, -6.426248018031090e-03, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 4.323215066337634e+04
26, 1.248000000000000e+00, 2.941568448000000e-02, 1.785843155200000e-01, 2.598462874469253e-02, 8.282631752974865e+00, -2.143989985575993e-01, -1.365137200644273e-01, 1.090216911660685e+00, 6.097905996547847e+02
27, 1.248000000000000e+00, 2.941568448000000e-02, 2.374156844800000e-01, -8.597995855755351e-03, 9.501989445030457e+00, 1.997000911571163e-01, -1.344567361436008e-01, 1.183025919316540e+00, 5.541114843573955e+02
28, 1.248000000000000e+00, -1.734723475976807e-17, 2.432988213760001e-01, 3.181719308523130e-02, 1.026755902486027e+01, 0.000000000000000e+00, 1.514173045067884e-01, 9.147454995985369e-01, 3.130176356820725e+02
29, 1.248000000000000e+00, 1.047532498130857e-15, 2.600000749226296e-01, 1.294063412178666e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.676396116222695e+04
30, 1.248000000000000e+00, -9.714451465470120e-17, 1.727011786239994e-01, 5.224443250774490e-02, 8.306169454575038e+00, 0.000000000000000e+00, 1.545086565223065e-01, 7.745454239334457e-01, 4.370454887044281e+02
31, 1.248000000000000e+00, 1.045538420835003e-15, 1.559999250773704e-01, -6.119763734876591e-03, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.676396063953876e+04
32, 2.631929664000000e-02, 2.941568448000000e-02, 0.000000000000000e+00, 4.301249978744781e+01, 6.543946552406538e-01, -2.423191184428199e-01, 9.760726999358969e+00, 9.253198412185192e-01, 4.961221626812346e+02
33, 2.322290880000000e-02, 2.941568448000000e-02, 0.000000000000000e+00, 4.385096702696000e+01, 6.674519849424214e-01, -2.092097263217622e-01, 9.947036454215933e+00, 8.669697719479240e-01, 4.314732442721672e+02
