"PointID","x","y","Pressure","Velocity_x","Velocity_y","Enthalpy","Turb_Kin_Energy","Omega","Species_0","Species_1"
0, 0.000000000000000e+00, 0.000000000000000e+00, 2.615744261567595e+00, 9.977994424700154e-01, 0.000000000000000e+00, 3.014109000000000e+05, 3.727445065009178e-03, 2.557966940004274e+01, 4.997202588431421e-01, 4.997202587974348e-01
1, 0.000000000000000e+00, 1.500000000000000e-02, 2.716193842701069e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014108999999999e+05, 1.000000000000000e-10, 1.719130144669442e+06, 4.991224078103615e-01, 4.991224077207141e-01
2, 4.500000000000000e-02, 1.500000000000000e-02, 2.629373201603704e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130145566324e+06, 5.354291901847261e-01, 3.182611680226706e-01
3, 4.500000000000000e-02, 6.000000000000000e-02, 2.680306869076647e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 9.323053395739864e+05, 5.991791151418888e-01, 6.771321044977623e-10
4, 6.000000000000000e-02, 6.000000000000000e-02, 2.679019961163767e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 9.323053395664688e+05, 5.989911433855121e-01, 2.530126302037552e-10
5, 6.000000000000000e-02, 1.500000000000000e-02, -2.382246110533462e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130144669442e+06, 5.761522788225364e-01, 8.859378419677507e-03
6, 1.500000000000000e-01, 1.500000000000000e-02, 1.958868314892369e-03, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130145566324e+06, 5.516437462511472e-01, 2.333461460002943e-01
7, 1.500000000000000e-01, 0.000000000000000e+00, 3.150772347562017e-03, 2.493338985569767e+00, 0.000000000000000e+00, 3.014109000000001e+05, 1.444790131413633e-02, 1.414461207978707e+02, 5.469503388672425e-01, 2.660670395335381e-01
8, 6.000000000000000e-02, 0.000000000000000e+00, 8.712856990739974e-01, 2.122266512589346e+00, 0.000000000000000e+00, 3.014108999999999e+05, 1.217594857459169e-02, 1.057918517207438e+02, 5.069386895612391e-01, 4.651558018587938e-01
9, 4.500000000000000e-02, 0.000000000000000e+00, 2.381816348390070e+00, 1.219636665790429e+00, 0.000000000000000e+00, 3.014109000000000e+05, 4.535279410343850e-03, 2.836661285258009e+01, 4.995717276173386e-01, 4.988721890988869e-01
10, 0.000000000000000e+00, 1.574144204846025e-03, 2.616320807648911e+00, 9.978166456628882e-01, -6.868294196319632e-04, 3.014109000000000e+05, 3.727668596947046e-03, 2.558042361311524e+01, 4.997260468508951e-01, 4.997260468040189e-01
11, 0.000000000000000e+00, 2.990873992241717e-03, 2.617940553049484e+00, 9.978744225009337e-01, -1.496982994915035e-03, 3.014108999999998e+05, 3.728438915959842e-03, 2.558342843560007e+01, 4.997469751474167e-01, 4.997469750975659e-01
12, 0.000000000000000e+00, 4.265930797259476e-03, 2.620483448114445e+00, 9.979934467245924e-01, -2.552694759442696e-03, 3.014109000000000e+05, 3.729881432989195e-03, 2.558922012767318e+01, 4.997846871322163e-01, 4.997846870782955e-01
13, 0.000000000000000e+00, 5.413481928202031e-03, 2.623889252323732e+00, 9.982000917011248e-01, -3.929922364090472e-03, 3.014109000000000e+05, 3.732218419706695e-03, 2.559872459294314e+01, 4.998400780409867e-01, 4.998400779824751e-01
14, 0.000000000000000e+00, 6.446277946186980e-03, 2.628120476617824e+00, 9.985199170016487e-01, -5.671868512065454e-03, 3.014108999999999e+05, 3.735742280859106e-03, 2.561328756993638e+01, 4.999130036082112e-01, 4.999130035450230e-01
15, 0.000000000000000e+00, 7.375794360497080e-03, 2.633137081592387e+00, 9.989740838596712e-01, -7.794622117599147e-03, 3.014109000000001e+05, 3.740762603160856e-03, 2.563481052428117e+01, 5.000019566305541e-01, 5.000019565629127e-01
16, 0.000000000000000e+00, 8.212359137849332e-03, 2.638883876478376e+00, 9.995765056330067e-01, -1.028992404617758e-02, 3.014109000000000e+05, 3.747521047883941e-03, 2.566636184068076e+01, 5.001038799700507e-01, 5.001038798983807e-01
17, 0.000000000000000e+00, 8.965267439210984e-03, 2.645286073831214e+00, 1.000331006878443e+00, -1.312777013982148e-02, 3.014108999999999e+05, 3.756078664234608e-03, 2.571419546421338e+01, 5.002142452520293e-01, 5.002142451768710e-01
18, 0.000000000000000e+00, 9.642884908201548e-03, 2.652250449649459e+00, 1.001229028376702e+00, -1.626034017663274e-02, 3.014108999999999e+05, 3.766189730980573e-03, 2.579313767920144e+01, 5.003274349036061e-01, 5.003274348255478e-01
19, 0.000000000000000e+00, 1.025274063979892e-02, 2.659670481488812e+00, 1.002249594503710e+00, -1.962770357008089e-02, 3.014109000000000e+05, 3.777181667368067e-03, 2.593873695130195e+01, 5.004373516688132e-01, 5.004373515884394e-01
20, 0.000000000000000e+00, 1.080161078744714e-02, 2.667434502305970e+00, 1.003363709733604e+00, -2.316488711838816e-02, 3.014109000000000e+05, 3.787865961002659e-03, 2.623113507845872e+01, 5.005380972367609e-01, 5.005380971546126e-01
21, 0.000000000000000e+00, 1.129559391401836e-02, 2.675435949765313e+00, 1.004544617852071e+00, -2.680918061101537e-02, 3.014109000000000e+05, 3.796507968353557e-03, 2.683762139801237e+01, 5.006245375508365e-01, 5.006245374673820e-01
22, 0.000000000000000e+00, 1.174017872895828e-02, 2.683583671008379e+00, 1.005783393022542e+00, -3.050609723661431e-02, 3.014109000000001e+05, 3.800863972645902e-03, 2.808691004571129e+01, 5.006926134695373e-01, 5.006926133851526e-01
23, 0.000000000000000e+00, 1.214030506532672e-02, 2.691807280130467e+00, 1.007107118095684e+00, -3.421214974516160e-02, 3.014109000000000e+05, 3.798223531870127e-03, 3.061011772975571e+01, 5.007393285317464e-01, 5.007393284467074e-01
