NMARK= 1
MARKER_TAG= inlet
NROW=30
NCOL=9
# COORD-X               COORD-Y                 TEMPERATURE             VELOCITY                NORMAL-X                NORMAL-Y                TKE                     DISSIPATION             SPECIES_0               
-0.1 0.0 673 52.113575 1 0 0.022036247 2249.2866 0
-0.1 0.00072056672 673 52.113575 1 0 0.022036247 2249.2866 0
-0.1 0.0014123108 673 52.130169 1 0 0.021853773 2227.1838 0
-0.1 0.0020763851 673 52.155247 1 0 0.021966202 2223.8691 0
-0.1 0.0027138963 673 52.185356 1 0 0.025456807 2238.5793 0
-0.1 0.003325907 673 52.181305 1 0 0.11307145 2565.6211 0
-0.1 0.0039134375 673 51.904926 1 0 0.91227305 3924.4668 0
-0.1 0.0044774669 673 51.180588 1 0 3.0400403 5234.1846 0
-0.1 0.0050189346 673 50.250782 1 0 5.6927605 5843.0571 0
-0.1 0.0055387439 673 49.246353 1 0 8.354352 6278.2769 0
-0.1 0.006037761 673 48.157909 1 0 11.022179 6693.3311 0
-0.1 0.0065168175 673 46.984482 1 0 13.741647 7145.3198 0
-0.1 0.0069767111 673 45.774849 1 0 16.35457 7609.7793 0
-0.1 0.0074182097 673 44.565525 1 0 18.708464 8072.2192 0
-0.1 0.0078420481 673 43.370502 1 0 20.779472 8543.3164 0
-0.1 0.0082489327 673 42.1898 1 0 22.594801 9048.4883 0
-0.1 0.0086395424 673 41.016678 1 0 24.199833 9620.7598 0
-0.1 0.0090145273 673 39.840576 1 0 25.640738 10297.504 0
-0.1 0.0093745124 673 38.646294 1 0 26.959324 11122.591 0
-0.1 0.0097200992 673 37.411186 1 0 28.190733 12151.757 0
-0.1 0.010051861 673 36.11153 1 0 29.362619 13455.807 0
-0.1 0.010370354 673 34.725197 1 0 30.4884 15132.082 0
-0.1 0.010676106 673 33.222515 1 0 31.5849 17335.744 0
-0.1 0.010969629 673 31.561712 1 0 32.676102 20327.223 0
-0.1 0.01125141 673 29.680511 1 0 33.802517 24576.211 0
-0.1 0.011521921 673 27.479441 1 0 35.046871 31017.684 0
-0.1 0.011781611 673 24.78553 1 0 36.619263 41792.531 0
-0.1 0.012030913 673 21.265036 1 0 39.229969 62961.266 0
-0.1 0.012270243 673 15.721132 1 0 44.032578 119438.84 0
-0.1 0.0125 673 0 1 0 1e-10 211634.48 0
